error,image,class,confidence,iou
false_positive,l_light_01_mouse_bite_07_2_600.jpg,open_circuit,0.2593,0.0000
false_negative,l_light_01_spur_02_1_600.jpg,spur,,
false_negative,l_light_04_mouse_bite_05_3_600.jpg,mouse_bite,,
false_positive,l_light_04_open_circuit_01_1_600.jpg,open_circuit,0.4303,0.4558
false_negative,l_light_04_open_circuit_01_1_600.jpg,open_circuit,,
false_positive,l_light_04_short_16_4_600.jpg,short,0.7128,0.0000
false_negative,l_light_04_spurious_copper_04_4_600.jpg,spurious_copper,,
false_positive,l_light_04_spurious_copper_06_1_600.jpg,spurious_copper,0.3886,0.0000
false_negative,l_light_04_spurious_copper_07_1_600.jpg,spurious_copper,,
false_negative,l_light_04_spurious_copper_07_2_600.jpg,spurious_copper,,
false_positive,l_light_04_spurious_copper_11_3_600.jpg,spurious_copper,0.5310,0.0000
false_positive,l_light_04_spurious_copper_11_3_600.jpg,spurious_copper,0.2533,0.0000
false_positive,l_light_04_spurious_copper_20_5_600.jpg,spurious_copper,0.5944,0.2397
false_negative,l_light_04_spurious_copper_20_5_600.jpg,spurious_copper,,
false_positive,l_light_05_missing_hole_01_4_600.jpg,missing_hole,0.3809,0.0000
false_positive,l_light_05_missing_hole_07_4_600.jpg,missing_hole,0.3149,0.0000
false_positive,l_light_05_missing_hole_08_1_600.jpg,missing_hole,0.4683,0.0000
false_positive,l_light_05_mouse_bite_09_3_600.jpg,mouse_bite,0.2764,0.0000
false_negative,l_light_05_mouse_bite_09_3_600.jpg,mouse_bite,,
false_positive,l_light_05_short_06_1_600.jpg,missing_hole,0.2511,0.0000
false_positive,l_light_05_spurious_copper_08_3_600.jpg,spurious_copper,0.3196,0.0000
false_positive,l_light_06_mouse_bite_04_5_600.jpg,spurious_copper,0.2677,0.0000
false_positive,l_light_06_mouse_bite_07_3_600.jpg,open_circuit,0.3001,0.0000
false_negative,l_light_06_mouse_bite_07_3_600.jpg,mouse_bite,,
false_positive,l_light_06_short_05_4_600.jpg,spurious_copper,0.3692,0.0000
false_positive,l_light_06_spurious_copper_07_4_600.jpg,spurious_copper,0.5929,0.0000
false_positive,l_light_06_spurious_copper_07_4_600.jpg,spurious_copper,0.3582,0.0000
false_negative,l_light_06_spurious_copper_10_3_600.jpg,spurious_copper,,
false_positive,l_light_06_spurious_copper_10_5_600.jpg,spurious_copper,0.3802,0.0000
false_negative,l_light_07_short_01_4_600.jpg,short,,
false_negative,l_light_07_spur_03_1_600.jpg,spur,,
false_positive,l_light_08_missing_hole_01_4_600.jpg,missing_hole,0.3843,0.0000
false_positive,l_light_08_missing_hole_02_4_600.jpg,missing_hole,0.5604,0.0000
false_negative,l_light_08_short_08_3_600.jpg,short,,
false_positive,l_light_08_spur_02_2_600.jpg,spur,0.5603,0.0000
false_positive,l_light_08_spur_09_4_600.jpg,spurious_copper,0.5810,0.0000
false_positive,l_light_08_spur_09_4_600.jpg,spurious_copper,0.2677,0.0000
false_negative,l_light_08_spurious_copper_03_1_600.jpg,spurious_copper,,
false_negative,l_light_08_spurious_copper_05_4_600.jpg,spurious_copper,,
false_positive,l_light_08_spurious_copper_06_4_600.jpg,short,0.3329,0.0000
false_negative,l_light_08_spurious_copper_08_4_600.jpg,spurious_copper,,
false_positive,l_light_09_missing_hole_07_1_600.jpg,missing_hole,0.7272,0.0000
false_positive,l_light_09_spur_06_5_600.jpg,spur,0.3697,0.3752
false_negative,l_light_09_spur_06_5_600.jpg,spur,,
false_negative,l_light_09_spurious_copper_02_2_600.jpg,spurious_copper,,
false_negative,l_light_09_spurious_copper_10_4_600.jpg,spurious_copper,,
false_negative,l_light_10_spur_05_2_600.jpg,spur,,
false_positive,l_light_11_mouse_bite_07_4_600.jpg,mouse_bite,0.3982,0.0000
false_negative,l_light_11_open_circuit_04_3_600.jpg,open_circuit,,
false_positive,l_light_11_open_circuit_06_2_600.jpg,open_circuit,0.5635,0.4856
false_negative,l_light_11_open_circuit_06_2_600.jpg,open_circuit,,
false_negative,l_light_11_spur_02_1_600.jpg,spur,,
false_positive,l_light_12_missing_hole_05_1_600.jpg,missing_hole,0.2838,0.0000
false_positive,l_light_12_missing_hole_06_4_600.jpg,missing_hole,0.4039,0.0000
false_positive,l_light_12_missing_hole_10_2_600.jpg,missing_hole,0.2769,0.0000
false_positive,l_light_12_mouse_bite_06_3_600.jpg,mouse_bite,0.6409,0.0000
false_positive,l_light_12_open_circuit_01_3_600.jpg,open_circuit,0.3491,0.0000
false_negative,l_light_12_spur_03_2_600.jpg,spur,,
false_negative,l_light_12_spur_03_2_600.jpg,spur,,
false_negative,l_light_12_spur_03_2_600.jpg,spur,,
false_positive,l_light_12_spurious_copper_09_2_600.jpg,spurious_copper,0.4606,0.0000
false_negative,light_01_mouse_bite_17_2_600.jpg,mouse_bite,,
false_negative,light_01_mouse_bite_17_2_600.jpg,mouse_bite,,
false_negative,light_01_spur_14_1_600.jpg,spur,,
false_negative,light_01_spur_14_1_600.jpg,spur,,
